run,tag,step,value
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_binary_iou,17,0.6764877438545227
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_binary_iou,18,0.6803434491157532
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_binary_iou,19,0.6830379366874695
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,0,0.19610311090946198
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,1,0.2936532199382782
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,2,0.3500809669494629
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,3,0.37618115544319153
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,4,0.3970687985420227
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,5,0.4196268618106842
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,6,0.4352343678474426
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,7,0.44535496830940247
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,8,0.4578391909599304
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,9,0.4728998839855194
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,10,0.4800652861595154
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,11,0.4880451261997223
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,12,0.4935109615325928
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,13,0.5025662183761597
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,14,0.5056837797164917
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,15,0.5139276385307312
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,16,0.5163294076919556
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,17,0.521397054195404
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,18,0.525873064994812
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_dice_coef,19,0.5304988026618958
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,0,0.37571313977241516
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,1,0.32011863589286804
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,2,0.2979987859725952
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,3,0.28622502088546753
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,4,0.2766534984111786
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,5,0.2681344151496887
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,6,0.26085153222084045
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,7,0.2556120455265045
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,8,0.25069305300712585
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,9,0.24418091773986816
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,10,0.24017785489559174
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,11,0.23686130344867706
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,12,0.23452739417552948
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,13,0.23022577166557312
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,14,0.22909823060035706
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,15,0.22593222558498383
fit\landsat_8\unet_model_opt_adam_lr_0.001_batch_16_epochs_20_filters_16_size_112_date_20220808\train,epoch_loss,16,0.22445297241210938
