model_paths,binary_crossentropy_loss,binary_accuracy,dice_coefficient,binary_iou
models\sentinel_2\unet_model_opt_adam_lr_0.01_batch_64_epochs_20_filters_32_size_112_date_20220812,0.41724321246147156,0.853185772895813,0.149028941988945,0.4265928864479065
models\sentinel_2\unet_model_opt_rmsprop_lr_0.001_batch_16_epochs_20_filters_16_size_176_date_20220810,0.20836123824119568,0.9210319519042969,0.6090254783630371,0.7020725607872009
models\sentinel_2\unet_model_opt_rmsprop_lr_0.001_batch_16_epochs_20_filters_32_size_144_date_20220810,0.20505470037460327,0.9200748801231384,0.6132129430770874,0.7154825925827026
models\sentinel_2\unet_model_opt_rmsprop_lr_0.001_batch_32_epochs_20_filters_16_size_176_date_20220810,0.19941096007823944,0.9222917556762695,0.6004964709281921,0.7186222076416016
models\sentinel_2\unet_model_opt_rmsprop_lr_0.001_batch_32_epochs_20_filters_32_size_176_date_20220811,0.20168240368366241,0.9221532344818115,0.5939501523971558,0.7108851671218872
models\sentinel_2\unet_model_opt_rmsprop_lr_0.001_batch_64_epochs_20_filters_16_size_112_date_20220811,0.2293437272310257,0.9112233519554138,0.5416454672813416,0.671564519405365
models\sentinel_2\unet_model_opt_rmsprop_lr_0.001_batch_64_epochs_20_filters_32_size_112_date_20220812,0.25227460265159607,0.9024367332458496,0.4816446602344513,0.6490916609764099
models\sentinel_2\unet_model_opt_rmsprop_lr_0.01_batch_16_epochs_20_filters_16_size_176_date_20220810,0.3272373378276825,0.8632758259773254,0.3770831227302551,0.5736681818962097
models\sentinel_2\unet_model_opt_rmsprop_lr_0.01_batch_16_epochs_20_filters_32_size_144_date_20220810,0.358816534280777,0.8523750305175781,0.39013275504112244,0.5555276870727539
models\sentinel_2\unet_model_opt_rmsprop_lr_0.01_batch_32_epochs_20_filters_16_size_176_date_20220810,0.4658990800380707,0.7808730006217957,0.354451447725296,0.5166192054748535
models\sentinel_2\unet_model_opt_rmsprop_lr_0.01_batch_32_epochs_20_filters_32_size_144_date_20220810,0.3858634829521179,0.8532019257545471,0.26037442684173584,0.42664796113967896
models\sentinel_2\unet_model_opt_rmsprop_lr_0.01_batch_64_epochs_20_filters_16_size_144_date_20220811,0.40503376722335815,0.865247368812561,0.27833011746406555,0.5233855843544006
models\sentinel_2\unet_model_opt_rmsprop_lr_0.01_batch_64_epochs_20_filters_32_size_112_date_20220812,0.3936314582824707,0.8531858921051025,0.1997537761926651,0.4265935719013214
